Item,Description,ItemParent
FX1-00-00-000,Operaciones ERP,
FX1-10-00-000,Catálogos,FX1-00-00-000
FX1-20-00-000,Transacciones,FX1-00-00-000
FX1-30-00-000,Aplicación,FX1-00-00-000
FX1-40-00-000,Inventario,FX1-00-00-000
FX1-50-00-000,Clientes y Cuentas por cobrar,FX1-00-00-000
FX1-60-00-000,Proveedores y Cuentas por pagar,FX1-00-00-000
FX1-70-00-000,Contabilidad y finanzas,FX1-00-00-000
FX1-80-00-000,Herramientas,FX1-00-00-000
FX1-90-00-000,Fuerza de ventas,FX1-00-00-000
FX2-MBI-00-000,Tableros de indicadores,FX1-00-00-000
FX3-CRM-00-000,Relación con clientes (CRM),FX1-00-00-000
FX4-CFL-00-000,Módulo de control de folios,FX1-00-00-000
FX1-10-10-000,Agente,FX1-10-00-000
FX1-10-100-000,Cliente,FX1-10-00-000
FX1-10-110-000,Contacto,FX1-10-00-000
FX1-10-120-000,Centros de Produccion,FX1-10-00-000
FX1-10-130-000,Departamentos,FX1-10-00-000
FX1-10-140-000,Divisa,FX1-10-00-000
FX1-10-160-000,Grupo de Clientes,FX1-10-00-000
FX1-10-170-000,Grupo de Productos,FX1-10-00-000
FX1-10-180-000,Grupo de Proveedores,FX1-10-00-000
FX1-10-20-000,Almacen,FX1-10-00-000
FX1-10-200-000,Lineas,FX1-10-00-000
FX1-10-210-000,Marcas,FX1-10-00-000
FX1-10-220-000,Porteador,FX1-10-00-000
FX1-10-230-000,Precio de venta,FX1-10-00-000
FX1-10-240-000,Productos,FX1-10-00-000
FX1-10-250-000,Promociones,FX1-10-00-000
FX1-10-260-000,Proveedores,FX1-10-00-000
FX1-10-270-000,Repartidor,FX1-10-00-000
FX1-10-280-000,Tablas,FX1-10-00-000
FX1-10-290-000,Tarjetas de Credito,FX1-10-00-000
FX1-10-30-000,Banco,FX1-10-00-000
FX1-10-300-000,Tasa Fija,FX1-10-00-000
FX1-10-310-000,Tasa Variable,FX1-10-00-000
FX1-10-320-000,Tipos de clientes,FX1-10-00-000
FX1-10-330-000,Tipos de Cupon,FX1-10-00-000
FX1-10-340-000,Tipos de Proveedor,FX1-10-00-000
FX1-10-350-000,Zonas,FX1-10-00-000
FX1-10-40-000,Caja,FX1-10-00-000
FX1-10-50-000,Cajero,FX1-10-00-000
FX1-10-60-000,Categoria,FX1-10-00-000
FX1-10-70-000,Centros de Consumo,FX1-10-00-000
FX1-10-80-000,Configuracion de Impuestos,FX1-10-00-000
FX1-10-90-000,Chequera,FX1-10-00-000
FX1-20-10-000,Punto de venta,FX1-20-00-000
FX1-20-20-000,Compras,FX1-20-00-000
FX1-20-30-000,Ventas y distribución,FX1-20-00-000
FX1-20-40-000,Requisiciones,FX1-20-00-000
FX1-30-01-000,Panel de Control,FX1-30-00-000
FX1-30-02-000,Permitir Intercambiar datos(ejecución de subprogramas),FX1-30-00-000
FX1-30-03-000,Permitir exportar,FX1-30-00-000
FX1-30-04-000,Comandos SQL,FX1-30-00-000
FX1-30-05-000,Permitir Ejecutar reportes,FX1-30-00-000
FX1-40-01-000,Habilitar Acceso,FX1-40-00-000
FX1-40-02-000,Permitir Abrir cardex de productos,FX1-40-00-000
FX1-40-10-000,Permitir Ensamble de productos,FX1-40-00-000
FX1-40-20-000,Permitir Desensamble de productos,FX1-40-00-000
FX1-40-30-000,Permitir Salidas de inventario,FX1-40-00-000
FX1-40-40-000,Permitir Entradas de inventario,FX1-40-00-000
FX1-40-50-000,Permitir Traspasos entre almacenes,FX1-40-00-000
FX1-40-70-000,Edición de productos,FX1-40-00-000
FX2-MVI-00-000t,Transporte de movimientos de inventario (mvi),FX1-40-00-000
FX2-TRA-00-000,Transformaciones,FX1-40-00-000
FX1-50-01-000,Habilitar Acceso,FX1-50-00-000
FX1-50-10-000,Permitir Crear nueva cuenta por cobrar,FX1-50-00-000
FX1-50-20-000,Permitir Cobrar documento,FX1-50-00-000
FX1-50-30-000,Permitir Bonificar documento,FX1-50-00-000
FX1-50-40-000,Permitir Aplicar abonos,FX1-50-00-000
FX1-50-50-000,Permitir Crear recibo,FX1-50-00-000
FX1-50-60-000,Financiar,FX1-50-00-000
FX1-50-70-000,Permitir Crear nota de cargo,FX1-50-00-000
